ParticleID,Start Latitude,Start Longitude,End Latitude,End Longitude,Total Distance,Net Displacement,Straightness Index,Average Velocity,Max Velocity,Velocity Std Dev,Min Distance to Shore,Avg Distance to Shore,Shore Distance Std Dev,Final Distance to Shore,Total Time Steps,Direction Change Std Dev,Beached,Beaching Time Step,Beaching Distance,VelocityU at Beaching,VelocityV at Beaching,Time in Coastal Zone (steps)
0,52.2008,4.30033,58.0696,6.54215,22.15738798691205,6.28240163889575,0.2835352994949877,0.07827998907736071,0.30203465233313875,0.051077154909506046,4972.07,182551.77103652968,97636.91238502749,4974.4,8759,86.72905875805051,False,,,,,33
1,51.2559,2.59457,56.6571,5.37373,20.068546078325912,6.0742647082260115,0.3026758732056945,0.07072529289754792,0.31744909657455317,0.0504903886267892,15165.4,218139.7651712329,82787.84369325811,204997.0,8759,96.1613523162947,False,,,,,0
2,51.335,2.95569,51.3373,2.95648,0.007026284278758212,0.002431892267348914,0.34611356029259804,0.06639440303671962,0.11440824277511652,0.029265151647699314,9028.17,9158.4056,98.87012223134354,9292.57,49,91.52156912426133,True,49.0,9292.57,0.0375861,0.0978394,0
3,51.4506,3.21597,57.144,5.75237,21.535446393721184,6.23282668778781,0.28942175489824234,0.07588824945381864,0.32755956432595584,0.05309794458933214,10481.5,236245.4664497717,90018.56693367592,139980.0,8759,94.81671454541673,False,,,,,0
4,51.608,3.3925,57.2622,5.98077,22.291732146417832,6.218449905957274,0.27895768104124413,0.07855295304928044,0.3344422720798912,0.05413218332191621,9139.25,233542.2199280822,80064.11718395201,114163.0,8759,93.14504395085805,False,,,,,0
5,51.7544,3.54368,57.3366,6.15831,22.79125797208307,6.16419069115322,0.27046294235727203,0.08031322420680129,0.33337903297341603,0.05483473114847457,14089.3,229546.86660958905,74520.45067861724,96656.3,8759,91.4543753443397,False,,,,,0
6,51.8743,3.7201,57.3963,6.31567,23.1222223571996,6.1015954983020615,0.2638844745994841,0.08148359763552458,0.3285754486577018,0.055208536826375824,15436.0,222953.0797716895,74222.00946726286,82735.5,8759,90.5073213201769,False,,,,,0
7,51.999,3.88805,57.4925,6.47666,23.364598504741224,6.0728448014172045,0.2599165057420046,0.08234344943687562,0.3119107288472136,0.055064448744221076,8699.89,213889.72304566207,77404.53548394662,66416.7,8759,89.24497679599045,False,,,,,0
8,52.0817,4.08952,57.6247,6.61029,23.33231962399828,6.089263534525336,0.26097977537828126,0.08231551638195377,0.3024832930394669,0.05416872177826298,9683.89,201841.93326255708,82448.39214695754,49421.4,8759,88.3109003350926,False,,,,,0
9,52.3192,4.3583,52.3427,4.37585,0.036914998225564676,0.02933006137054488,0.7945296703341838,0.09012859191806788,0.13182653287544202,0.0252579526924005,11363.3,11554.509090909092,87.49303221008338,11620.3,65,86.89742766963577,True,65.0,11620.3,0.0284022,0.0776067,0
10,52.4736,4.40882,59.2726,5.09008,19.646100109194983,6.833045893860219,0.3478067329333287,0.07511404301088605,0.3002181759754063,0.05096298838360812,4972.72,161766.67965525115,106203.80494696717,4975.09,8759,85.72166176808295,False,,,,,1293
11,52.5756,4.51779,59.36,4.91121,19.533690185291597,6.795797426086211,0.3479013622937096,0.07574431195431808,0.2882550171167884,0.05112720888352297,4979.67,153407.25481392693,104069.1321986285,4982.55,8759,86.11580874593233,False,,,,,1453
12,52.6934,4.51793,59.8039,5.03071,19.06628061360987,7.128965814085521,0.37390437907416146,0.0688732502627329,0.2740568417682726,0.05238678754885381,4972.02,141255.9646541096,96293.49062947617,4977.35,8759,84.15306023628004,False,,,,,1398
13,52.8569,4.5853,52.8994,4.62507,0.06843052353019871,0.058205694738571095,0.8505808773022853,0.11622563598285124,0.14953821864744143,0.022222759714893577,8253.86,9040.791142857144,1221.222550066113,8473.03,69,95.64822500419365,True,69.0,8473.03,0.0233038,0.0885613,0
14,53.0245,4.56854,53.0816,4.6251,0.0914773078802903,0.08037066380216001,0.8785858008341834,0.12049917575859612,0.1541784406420366,0.022512656723826126,10597.0,10967.665333333334,397.3578248180653,10796.0,74,96.27421069882645,True,74.0,10796.0,0.0150929,0.0832135,0
15,53.1617,4.66219,60.4612,4.82152,18.340961789028412,7.301238682504492,0.39808374099945526,0.07048910604168064,0.28333974959048724,0.05237774910984251,4964.02,111791.13288356164,85267.40832333261,4966.33,8759,83.05273625004274,False,,,,,1841
16,53.2675,4.73766,60.6662,4.68246,17.25714877930228,7.398905914390321,0.4287444008864519,0.07580811495819344,0.2911491067357068,0.05416701144139077,4969.48,127187.08379068463,72255.41637990321,4971.68,7127,80.02239518949848,True,7127.0,4971.68,0.000930123,0.000781603,300
17,53.3734,4.84688,60.6661,4.68279,17.047968691979825,7.294545826718759,0.42788357712965885,0.07538765646877936,0.2969356974514853,0.05424110575986121,4933.7,115222.0501010101,70439.44045307662,4935.83,7127,78.87799026183586,True,7127.0,4935.83,0.000928628,0.000780321,375
