ParticleID,Start Latitude,Start Longitude,End Latitude,End Longitude,Total Distance,Net Displacement,Straightness Index,Average Velocity,Max Velocity,Velocity Std Dev,Min Distance to Shore,Avg Distance to Shore,Shore Distance Std Dev,Final Distance to Shore,Total Time Steps,Direction Change Std Dev,Beached,Beaching Time Step,Beaching Distance,VelocityU at Beaching,VelocityV at Beaching,Time in Coastal Zone (steps)
0,52.2004,4.30061,52.2738,4.3754,0.1280216542645519,0.10479076342884396,0.8185393637571486,0.056391152143902674,0.1125812244811718,0.02110555544281942,6752.72,6753.390935672515,0.5849275987997213,6753.11,170,96.1530335193904,True,170.0,6753.11,-0.0140135,0.0397433,0
1,51.2553,2.59477,51.3647,2.87694,0.9807277608855212,0.30263553806517846,0.3085826160278384,0.05453536949786404,0.1860408695900984,0.04017362966232476,15096.6,15100.624480968856,1.5698890656429436,15100.3,1155,108.38715918051294,True,1155.0,15100.3,0.0540978,0.0329329,0
2,51.3345,2.95593,51.3352,2.95747,0.004706405034051535,0.001691626436303921,0.35943069584210324,0.06595790945251472,0.11306333963332235,0.028819363740614886,9037.9,9038.119599999998,0.19491452862575137,9037.98,49,95.16239068508317,True,49.0,9037.98,0.0371727,0.0968504,0
3,51.4498,3.21597,51.375,3.01812,1.5425974395182858,0.21151752291477044,0.1371177712967176,0.04690529120001401,0.20014656592107696,0.04128532045146148,10387.5,10389.747149321269,0.9302051353378019,10392.2,2209,125.27555750527733,True,2209.0,10392.2,-0.03277,-0.00526493,0
4,51.6076,3.39283,52.1078,4.12572,5.195162365450101,0.8873149340003244,0.17079638163021085,0.0389854603775366,0.25793374540179886,0.03635340976696421,9071.45,9075.978798766588,2.596004072854854,9078.89,7458,106.17142965117645,True,7458.0,9078.89,0.0565607,0.0518164,0
5,51.7544,3.54357,53.69,6.4171,9.227264231800051,3.464638800928605,0.37547844235221656,0.05324709523516351,0.24817218585490194,0.04206737719432149,16204.5,16214.570136986302,4.300151838954706,16208.8,8759,97.79604581638293,False,,,,,0
6,51.8729,3.72012,53.6695,6.39181,9.538274986042323,3.2195805652444847,0.33754327380535837,0.05537969976801463,0.2736767088362472,0.04199496557799882,15283.2,15289.78934931507,2.748136947740461,15291.5,8759,102.57604719585808,False,,,,,0
7,51.999,3.88783,52.1234,4.12878,1.1389986790892836,0.2711683287185258,0.23807606953095467,0.07048365408153952,0.2296319668774363,0.04590245666699121,10212.5,10215.70461811723,1.4031380658416024,10218.4,1125,111.81541540629146,True,1125.0,10218.4,0.0544682,0.18452,0
8,52.0811,4.08997,52.1143,4.12596,0.05587694960802018,0.04896447794064642,0.8762911770262135,0.08909777918982957,0.14151162072780454,0.028233477808119176,9598.69,9599.496710526315,0.5025969575658463,9599.49,75,102.42659570749346,True,75.0,9599.49,0.010814,0.0594895,0
9,52.3189,4.35865,52.3386,4.37633,0.031199351490537784,0.026470217226158603,0.8484220332011245,0.0888691505438729,0.12870106325372763,0.024780647243810485,11310.2,11311.0046875,0.33873231811179055,11311.1,63,94.47711989100901,True,63.0,11311.1,0.0354154,0.0847907,0
