Step,Latitude,Longitude,VelocityU,VelocityV,DistanceToShore,Beached
0,57.1604,6.00379,0.0141541,0.0359725,122306,No
1,57.1605,6.00364,0.0135291,0.0316444,122305,No
2,57.1605,6.00354,0.0142388,0.0297809,122305,No
3,57.1606,6.00348,0.0152151,0.0284108,122305,No
4,57.1606,6.00346,0.0161914,0.027041,122305,No
5,57.1606,6.00349,0.0173605,0.0259219,122305,No
6,57.1605,6.00356,0.0185674,0.0248532,122305,No
7,57.1604,6.0037,0.0197724,0.0237856,122305,No
8,57.1602,6.00415,0.0277897,0.0164901,122305,No
9,57.1597,6.00493,0.0371635,0.00797146,122306,No
10,57.159,6.00604,0.0465284,-0.000511842,122305,No
11,57.1581,6.00734,0.0573491,0.00326374,122305,No
12,57.1572,6.00882,0.0684851,0.00948425,122305,No
13,57.1562,6.01043,0.0796504,0.015699,122305,No
14,57.1553,6.01191,0.0827827,0.0294279,122305,No
15,57.1545,6.01321,0.0842919,0.0446261,122305,No
16,57.1538,6.01433,0.0857894,0.0597916,122305,No
17,57.1532,6.01529,0.0831057,0.0666705,122305,No
18,57.1527,6.01609,0.0795876,0.0718947,122305,No
19,57.1523,6.01676,0.0760701,0.0771179,122306,No
20,57.1519,6.01737,0.0739872,0.0776416,122305,No
21,57.1516,6.01795,0.0721889,0.0772198,122306,No
22,57.1512,6.01849,0.070388,0.0767922,122306,No
23,57.1509,6.01899,0.0689991,0.0771861,122306,No
24,57.1506,6.01947,0.0676922,0.0777393,122305,No
25,57.1504,6.0199,0.0663843,0.0782874,122305,No
26,57.1501,6.02031,0.0639028,0.0759989,122305,No
27,57.1499,6.0207,0.0611913,0.0731481,122305,No
28,57.1496,6.02106,0.0584845,0.0703016,122305,No
29,57.1495,6.02138,0.0540552,0.0664498,122305,No
30,57.1493,6.02164,0.0492808,0.0624001,122305,No
31,57.1492,6.02185,0.044506,0.058353,122305,No
32,57.1491,6.02204,0.0417964,0.0551151,122305,No
33,57.1489,6.02222,0.0394989,0.0520385,122305,No
34,57.1488,6.02239,0.0372004,0.048962,122305,No
35,57.1488,6.02252,0.040117,0.0567857,122305,No
36,57.1487,6.02259,0.0440779,0.06679,122305,No
37,57.1487,6.02262,0.0480392,0.0767948,122305,No
38,57.1487,6.02257,0.0494013,0.0838708,122305,No
39,57.1488,6.02245,0.0502436,0.0903607,122305,No
40,57.1489,6.02227,0.0510861,0.0968499,122305,No
41,57.149,6.02206,0.0487823,0.0945271,122305,No
42,57.1492,6.02184,0.045851,0.0904424,122305,No
43,57.1493,6.02162,0.0429213,0.0863581,122305,No
44,57.1494,6.02149,0.046062,0.0852887,122305,No
45,57.1494,6.02148,0.0504155,0.0848225,122305,No
46,57.1493,6.02156,0.0547681,0.084357,122305,No
47,57.1493,6.02164,0.0568697,0.0874795,122305,No
48,57.1493,6.02171,0.0585213,0.0913193,122305,No
49,57.1492,6.02176,0.0601733,0.0951592,122305,No
50,57.1492,6.02178,0.0645664,0.103945,122305,No
51,57.1492,6.02179,0.0695079,0.113721,122305,No
52,57.1492,6.02176,0.0744493,0.123497,122305,No
53,57.1493,6.02168,0.0761076,0.129776,122305,No
54,57.1494,6.02155,0.0771095,0.135356,122305,No
55,57.1495,6.02136,0.0781116,0.140936,122305,No
56,57.1496,6.02108,0.0767836,0.144543,122305,No
57,57.1499,6.02071,0.0749844,0.14776,122305,No
58,57.1502,6.02022,0.0731771,0.150983,122305,No
59,57.1507,6.01932,0.0541684,0.147308,122305,No
60,57.1516,6.01795,0.0316564,0.142205,122305,No
61,57.1527,6.01616,0.00904627,0.137022,122305,No
62,57.1539,6.01421,-0.00378826,0.128161,122305,No
63,57.1552,6.01213,-0.0145841,0.118643,122305,No
64,57.1565,6.00993,-0.0252946,0.109204,122305,No
65,57.158,6.0076,-0.0290416,0.112698,122305,No
66,57.1596,6.00512,-0.0313727,0.118777,122305,No
67,57.1612,6.00251,-0.0336633,0.124866,122305,No
68,57.1629,5.99992,-0.0310065,0.127948,122305,No
69,57.1645,5.99738,-0.0273383,0.130472,122305,No
70,57.1661,5.99489,-0.023641,0.133045,122305,No
71,57.1676,5.99251,-0.0140643,0.14169,122305,No
72,57.1689,5.99027,-0.00332357,0.15153,122305,No
73,57.1702,5.98812,0.00740992,0.161359,122305,No
74,57.1716,5.9859,0.0079732,0.166644,122305,No
