ParticleID,Start Latitude,Start Longitude,End Latitude,End Longitude,Total Distance,Net Displacement,Straightness Index,Average Velocity,Max Velocity,Velocity Std Dev,Min Distance to Shore,Avg Distance to Shore,Shore Distance Std Dev,Final Distance to Shore,Total Time Steps,Direction Change Std Dev,Beached,Beaching Time Step,Beaching Distance,VelocityU at Beaching,VelocityV at Beaching,Time in Coastal Zone (steps)
0,52.2006,4.30047,56.457,6.4857,16.57509680237863,4.784576377580359,0.2886605390379224,0.07772494403663847,0.3138402847572153,0.053796185989029646,6783.69,195704.95709132418,75868.0505028397,179872.0,8759,97.7043554560354,False,,,,,0
1,51.2556,2.59467,55.3628,5.32532,14.802541114849046,4.932092990049964,0.33319231825016693,0.06697087545166816,0.32114921793614876,0.04950826066988573,15132.3,143752.70698630137,43809.56743954225,213797.0,8759,101.1877488470151,False,,,,,0
2,51.3347,2.95581,56.0019,6.22065,15.45461204974439,5.695782304969179,0.36854903161825947,0.06948622600221195,0.3072690692438795,0.05073438498539515,9069.47,147533.1566849315,54039.47728012581,209107.0,8759,99.38502360020557,False,,,,,0
3,51.4502,3.21597,56.3026,6.3078,15.710678522524288,5.753711715831787,0.36622935843176546,0.07121154885026394,0.3200674725897651,0.051342635257030624,10436.2,153580.39,62787.3573831512,199603.0,8759,99.81290964358021,False,,,,,0
4,51.6078,3.39267,56.3086,6.30866,15.97930883483128,5.531773523934255,0.3461835290320092,0.0729527271617537,0.33938023279397106,0.051947968946843046,9110.21,162021.3399954338,68081.83498056783,198927.0,8759,100.56172803306183,False,,,,,0
5,51.7544,3.54362,56.2866,6.27849,16.06338417951041,5.293425238623856,0.3295336262564064,0.07478539342767185,0.34509607490558336,0.05266999223615137,15119.0,177234.8560388128,70652.63078803655,201962.0,8759,100.79940515032432,False,,,,,0
6,51.8736,3.72011,56.2784,6.26722,16.19634774190702,5.088224876329657,0.31415878180759227,0.07552446013005115,0.3425855190678088,0.05292281532098926,15361.6,183249.07648401827,71676.112167317,203112.0,8759,101.12200695780564,False,,,,,0
7,51.999,3.88794,56.2804,6.27014,16.207063850094432,4.899516588399307,0.30230747738867947,0.0758175887201987,0.3389163541265603,0.053029554654662206,9431.43,184667.71465753426,71876.94349631848,202820.0,8759,101.10923922724851,False,,,,,0
8,52.0814,4.08974,56.4357,6.42975,16.625119345460398,4.943235305961062,0.2973353275392183,0.07776358339851303,0.3077194692968906,0.05364420749700243,9641.11,197916.60656392694,73881.23775566267,182903.0,8759,98.16352730246265,False,,,,,0
9,52.3191,4.35848,56.4666,6.46676,16.79737506029071,4.652590763048047,0.2769832040035144,0.07872541282558872,0.318327283081815,0.05399945055974762,11205.3,202735.44744292236,75920.14980252342,179011.0,8759,95.82768042651372,False,,,,,0
10,52.4736,4.40876,56.6417,6.31547,17.115087888046705,4.5835140050075145,0.2678054611807557,0.0804877331837679,0.31641660155744045,0.05427629452156838,14656.7,202971.2908675799,69235.18550477327,162511.0,8759,92.80409363610303,False,,,,,0
11,52.5756,4.51775,56.6337,6.38787,17.045349435061347,4.468279805965598,0.2621406984344124,0.08032921061741942,0.3188973257955607,0.05429087405977014,7492.17,200858.1501152968,70369.88099934898,161813.0,8759,92.88968465598141,False,,,,,0
12,52.6935,4.51784,56.7413,6.26606,17.390197352219,4.409190176030064,0.25354457380366924,0.08178638021200951,0.3142226105293666,0.054836396125554604,9886.59,203715.4248116438,64916.20702198113,153110.0,8759,91.71777040596815,False,,,,,0
13,52.8569,4.58521,52.9683,4.63945,0.13068560438610377,0.12390293620410758,0.9480993471786139,0.11293886140124634,0.14681040775381016,0.02082404589038782,2334.77,7916.801403508772,3107.43630280737,2334.77,56,18.99261232135933,True,56.0,2334.77,0.0620102,0.124888,13
14,53.0245,4.56864,56.8642,6.25343,17.7531277306351,4.193067306173364,0.23618752536420587,0.08301278417869042,0.32216677070463057,0.05521255208394619,10706.2,204057.91566210045,59932.09873243917,140416.0,8759,90.87922446875946,False,,,,,0
15,53.1614,4.66244,56.8702,6.23899,17.740847697551626,4.029976097013477,0.22715803470708137,0.0831672061298789,0.3230830215399906,0.055289879792029525,12004.7,207010.99260273975,59805.20654349002,140277.0,8759,90.91419889539812,False,,,,,0
16,53.2674,4.7377,56.9272,6.34344,17.95597694072017,3.996565649104238,0.22257578422485685,0.0838733321319362,0.32475235886873866,0.055550542049063324,13287.9,204258.83719178083,58858.47397693501,130929.0,8759,90.31763279480771,False,,,,,0
17,53.3727,4.84714,56.9943,6.46643,18.172460673959936,3.967125743419284,0.2183042690032584,0.08454386049353331,0.32555534191593294,0.05585572525614217,16109.1,197244.12584474887,57692.97531342763,120858.0,8759,89.12404069013704,False,,,,,0
18,53.4378,5.04837,57.0041,6.49131,18.20359950483101,3.8471510931597144,0.21134013040326052,0.08461154572708812,0.3254228473159806,0.05590672810922942,14720.6,195596.33577625573,57958.58836893108,119381.0,8759,89.06064209194915,False,,,,,0
19,53.4778,5.2332,57.0076,6.50238,18.177002911197587,3.751040643928023,0.20636188827462132,0.08455485443401359,0.3253148189803993,0.05593448139417851,8673.33,193760.98853652968,58301.17645028766,118841.0,8759,89.01824722393073,False,,,,,0
20,53.5027,5.42628,57.0265,6.54694,18.228377776329985,3.697708111195367,0.20285448088512492,0.08471606429985525,0.3250614257954333,0.05604636042742025,7958.82,191245.5550958904,58536.702452087324,116230.0,8759,88.8164087608092,False,,,,,0
21,53.5179,5.61945,57.0457,6.5978,18.30438586910055,3.66094817806808,0.20000387908386974,0.08478978091663787,0.3246019354270088,0.0561365855226517,6332.02,188206.17214383563,58739.45760399176,113760.0,8759,88.43962748224725,False,,,,,0
22,53.5577,5.91293,57.046,6.59896,18.183126077603607,3.555119414436035,0.19551750338545593,0.08470034416001436,0.3245869622500109,0.0561601710261803,10342.8,188612.54922374428,58364.02094510817,113717.0,8759,89.025624846063,False,,,,,0
23,53.5678,6.08954,57.0459,6.61135,18.006222214098145,3.5170250619095724,0.19532276232578558,0.08467969103448518,0.3241471681583691,0.056206187485003306,9644.59,187310.9028915525,57558.06963517711,113650.0,8759,88.9357051439565,False,,,,,0
24,53.6028,6.25724,57.4325,7.03431,18.47875852025066,3.907741019425413,0.2114720539879865,0.08587411812897985,0.3008096760212344,0.05592932245071177,10736.4,137856.28788812784,57298.548140894694,61013.5,8759,85.2181338695879,False,,,,,0
25,53.6329,6.45052,58.8719,5.40226,15.0512941407527,5.34284287880525,0.35497564719960084,0.08045710529404784,0.30514139898250453,0.05386947617418495,3832.69,114434.75043343654,53408.80103332108,3832.69,7428,82.38337117644248,True,7428.0,3832.69,0.0318172,0.0344484,13
26,53.6879,6.61028,59.194,5.13115,13.998502922384198,5.701312372331483,0.40728015016626123,0.08020917695846028,0.3073825243828933,0.05476021142419383,4273.77,100562.89230680006,50767.31393228558,4273.77,6896,82.52725356727112,True,6896.0,4273.77,0.0178903,0.0222601,13
27,53.7424,6.84529,59.2358,5.15456,13.420845348814584,5.747696190031267,0.42826633052134383,0.07873641077383421,0.30850901861696034,0.05443905461082418,2235.15,92432.46787413207,50789.79220530174,2235.15,6768,82.28550408139488,True,6768.0,2235.15,0.151793,0.0162674,30
28,53.7573,7.04676,59.2029,5.05621,12.325382052602901,5.798003851542355,0.4704116940795292,0.07531532968083748,0.3089660356560248,0.05371505301743953,3442.47,83089.3588148261,51710.02186641054,3442.47,6555,81.24318325424134,True,6555.0,3442.47,0.0857538,0.0147384,13
29,53.8022,7.26506,58.3933,5.89905,9.522471311520713,4.7900086148252425,0.50302158527168,0.0792850191815239,0.3103212186187081,0.05430062891730685,3805.27,85845.60136634478,40665.79335388214,3805.27,4866,80.33345656813538,True,4866.0,3805.27,-0.0237794,0.040461,13
30,53.8171,7.50031,57.9733,7.39117,6.863912582501142,4.157632737460102,0.6057234394359233,0.080864700904518,0.3176135978858588,0.05652428222808088,4279.9,57612.51512510543,27578.212145739206,4279.9,3556,82.56306849392143,True,3556.0,4279.9,-0.00987779,0.0265461,13
31,53.842,7.71835,57.9676,7.64651,6.601346781960115,4.1262254356251535,0.6250581240332852,0.07926903441910203,0.31508322139396766,0.05617068173992255,3716.77,50549.79136183466,24997.071176933336,3716.77,3531,82.61503228863822,True,3531.0,3716.77,-0.0139937,0.0467795,13
32,53.852,7.91994,58.0031,7.84967,6.6109730515085445,4.1516947241939715,0.6280005517866397,0.07643994717785445,0.3138881043493047,0.055846401020836677,4661.74,45052.07827310345,22778.78903277528,4661.74,3624,81.96015689063843,True,3624.0,4661.74,0.00275206,0.0158243,13
33,51.0716,1.83068,53.8377,3.85492,12.901150567860215,3.4276605414772345,0.2656864225750794,0.05697630338979456,0.2723149424857182,0.04404847702610026,11458.5,71662.82224885844,31916.985792674393,128942.0,8759,100.3144079285338,False,,,,,0
34,51.098,2.03206,53.9715,3.89046,12.895443927648143,3.4220831097447064,0.26537148538234323,0.05883802515960174,0.28918563699637645,0.04474272917526848,10282.3,82489.30383561645,32054.801508769076,135702.0,8759,99.15037114197843,False,,,,,0
35,51.1403,2.24187,54.3432,4.04528,13.056851392170085,3.6757116369622898,0.28151592804116127,0.06097032955696296,0.30479645820120677,0.045616656537858104,10792.6,100214.55077625571,33342.223146167176,153681.0,8759,96.25090104110883,False,,,,,0
36,51.1561,2.43492,54.5739,4.17533,13.432293097523894,3.835411817275949,0.2855366384152954,0.0624891405289095,0.3160903563002199,0.046435819537327165,10249.5,110830.11231735161,35133.258514477624,168116.0,8759,96.2519462312499,False,,,,,0
37,51.22,1.70456,53.7813,3.81636,12.640709030444075,3.319632047381157,0.2626143865337067,0.05535789710264559,0.24397902627889967,0.04314447112656182,14865.7,64027.20742009133,33400.02983875621,128291.0,8759,98.92896921314033,False,,,,,0
38,51.246,1.9065,54.194,3.92671,12.827884422899825,3.573786849281865,0.27859518619469975,0.05988660609629096,0.2637526184230215,0.044492079641952974,27353.4,86672.78570776255,33511.13525422506,149376.0,8759,94.93167148146685,False,,,,,0
39,51.3093,2.12484,54.5387,4.07794,13.413265112625687,3.7740725973409663,0.2813686724038947,0.06251373868051739,0.2747776172461833,0.04580163601357126,30826.3,105649.69453196347,34488.63932120763,169875.0,8759,93.91744890777318,False,,,,,0
40,51.3936,2.41879,55.0661,4.44712,14.449111626170001,4.195399723375592,0.29035693210210595,0.06628970698726992,0.30655355708627813,0.04821208944569131,36039.8,137138.41328767125,37726.17558373118,203930.0,8759,94.47976542068481,False,,,,,0
41,51.5406,2.71279,55.5619,4.69584,15.171881172729202,4.483674942778527,0.2955253136860667,0.06895350175522641,0.30400870706668914,0.04949247375451589,40386.8,170601.36577625573,46476.029398812614,247515.0,8759,95.42566063326989,False,,,,,0
42,51.6872,2.97318,56.2402,6.19291,16.143522319612803,5.576420919631161,0.3454277702987008,0.07398319122093437,0.3423067956453684,0.05209497135850969,43290.0,190240.3345890411,63049.33996226439,209056.0,8759,99.90840072094221,False,,,,,0
43,51.8282,3.15789,56.2473,6.14552,16.181511012999774,5.334264506649442,0.32965181696344936,0.07572673594243283,0.3373664538902616,0.05280903109853414,44259.0,201967.6638584475,65944.47496299501,209598.0,8759,100.10118759621236,False,,,,,0
44,51.9479,3.351,56.2385,6.13228,16.32188357989672,5.113195360867805,0.3132723828005738,0.07660719510767723,0.32280790012891564,0.05311295046278241,44193.2,207180.8459931507,66391.35348844748,210924.0,8759,100.54617541832485,False,,,,,0
45,52.0875,3.58626,56.2566,6.15981,16.501281952412157,4.899444296295245,0.29691294957717174,0.0772462544038932,0.30648963918946753,0.05337288176979669,40928.3,209568.9270776256,66622.47467602024,208190.0,8759,100.81475779468784,False,,,,,0
46,52.2119,3.7626,56.4137,6.19578,16.718316794821256,4.855459623187077,0.2904275402109336,0.07922235881981031,0.3077585540541318,0.05395070323067376,35260.5,219742.15675799086,67585.77047429932,190289.0,8759,96.5779495525878,False,,,,,0
47,52.3814,3.93049,56.7312,6.04629,17.463048861716054,4.837082765469288,0.27698959120898653,0.08130840751821784,0.31593053545765404,0.054615605760476596,45229.2,215237.58479452055,59692.98060868356,162406.0,8759,92.68678334782312,False,,,,,0
48,52.4487,4.00625,56.7627,6.05488,17.57302997963186,4.775717838911759,0.27176405232604095,0.08172419935284836,0.31783868440609936,0.0547851344595619,47864.7,215016.39668949772,58670.46424480936,158822.0,8759,92.32753748655814,False,,,,,0
49,52.6643,4.11519,56.866,6.09868,17.91547912493161,4.646344312478361,0.25934803529828,0.08282616444460764,0.3248450483899054,0.055257881515604505,48600.0,213466.87593607308,55493.63867707039,146358.0,8759,91.27056904677374,False,,,,,0
50,52.8529,4.16538,56.8714,6.10869,17.909154593393822,4.463719973979106,0.24924236097809133,0.08314626131897208,0.3251148364264695,0.05526292734339263,46665.3,216825.38348173516,55871.43649943501,145357.0,8759,90.78466483686981,False,,,,,0
51,53.0153,4.20718,56.8858,6.14157,17.97268531980379,4.326966018135571,0.240752338403642,0.08346956350421711,0.32569094969140605,0.05530461800401477,46415.1,217606.38105022832,55766.8123203171,142446.0,8759,90.64182045807506,False,,,,,0
52,53.1266,4.27464,56.8966,6.16765,18.030652879861385,4.218576402069775,0.2339669245577649,0.08366865724552666,0.3260493309167341,0.05535616281888959,44078.5,216959.28533105023,55900.15023855551,140237.0,8759,90.63541382273077,False,,,,,0
53,53.2628,4.3419,56.947,6.24402,18.11513168439169,4.146250129261382,0.22888324531661355,0.08418486132973728,0.32807239798806603,0.05557576675128106,46190.4,212817.09851598172,55092.79743789341,132015.0,8759,89.3439157848222,False,,,,,0
54,53.3832,4.45124,56.978,6.29457,18.222127412687357,4.039857983753884,0.22170067699894846,0.08452113958979367,0.32898559825773527,0.05573243126630057,45251.1,210017.72834474884,55482.97087479311,126983.0,8759,88.98831506270882,False,,,,,0
55,53.4685,4.59394,57.0066,6.38872,18.2355349822529,3.9672896111073115,0.21755816952825008,0.08483261976952662,0.3285913559483877,0.05584768907709258,39914.9,205414.96869863014,57107.60831428213,121164.0,8759,88.49688225501346,False,,,,,0
56,53.5632,4.88772,57.0219,6.46409,18.32086655621356,3.800993036944425,0.20746797239540563,0.08503182123206193,0.3274704647370355,0.05594627948667535,33039.5,201429.20598173517,58200.269719970696,117874.0,8759,88.54002864236361,False,,,,,0
57,53.5931,5.13112,57.0272,6.51594,18.307307621729617,3.702805590683908,0.20225833679054542,0.0850427043340511,0.32591918377814155,0.0559857962599573,23662.8,197729.92674657534,58454.98270655717,116492.0,8759,88.44442468683492,False,,,,,0
58,53.6232,5.55933,57.0543,6.59507,18.36214694103652,3.5840207250516847,0.1951852763492465,0.08520607238394652,0.3250248681322092,0.05617012472041159,19749.1,192647.34729452056,59088.05167173709,112814.0,8759,87.66934535060189,False,,,,,0
59,53.6978,5.87802,57.0496,6.58407,18.22548590471447,3.425356892719353,0.1879432411639187,0.08521877035079355,0.3251126568955598,0.05615953324595252,25909.8,194492.6919634703,58318.925583786586,113392.0,8759,88.10739999021894,False,,,,,0
60,53.7535,6.05609,57.2331,6.84187,18.520419054075052,3.567221098894766,0.19261017196637728,0.086204075022627,0.31862574772425406,0.056610410114813936,30182.8,165870.5769520548,56882.20229208297,86349.6,8759,85.55749443678725,False,,,,,0
61,53.8432,6.3501,58.8602,5.41462,15.112191911325475,5.103470567212077,0.3377055159938382,0.08106339221987091,0.3135299891063054,0.05410922460441718,3292.07,119476.11083389923,52624.501577951334,3292.07,7362,82.21665662914727,True,7362.0,3292.07,0.0349483,0.0275453,13
62,53.8629,6.61023,59.3559,5.07455,13.899579844082382,5.703627097067264,0.4103452882063576,0.07987577019722929,0.3127395257031001,0.0546621679369906,4305.8,98866.08886602451,51684.59678097405,4578.16,6851,81.50598631391614,True,6851.0,4578.16,0.0023262,0.0235743,49
63,53.9175,6.97963,59.0149,5.32896,11.059546047546997,5.358003192318945,0.48446863635124954,0.07819934653128223,0.3134339665400035,0.05421673991006776,4450.74,88776.0793441744,46363.845101310006,4450.74,5595,79.54000073590342,True,5595.0,4450.74,0.0113702,0.0390581,13
64,53.9621,7.27344,57.9973,7.27407,6.942795875042567,4.035200049179721,0.5812067820811426,0.081940636352768,0.3334630719240138,0.05775131665904223,3480.2,60449.30871635024,32273.582455298107,3480.2,3528,80.42520540298005,True,3528.0,3480.2,-0.0210724,0.0510414,13
65,53.977,7.58418,58.0243,7.99507,6.366797780366116,4.068103720666424,0.6389560122690896,0.07505553360487924,0.3328275458371798,0.05776353436807616,4299.42,44972.516361823364,25129.60609470986,4299.42,3509,79.70544373125095,True,3509.0,4299.42,0.0016232,0.040557,13
66,54.0068,7.82734,58.0145,7.90412,6.525167872983067,4.008435412776411,0.6143037988912156,0.07635489563371023,0.3181819762494413,0.056554795484939635,3522.8,46359.96002493765,24047.77354011163,4919.8,3608,82.89739148596892,True,3608.0,4919.8,0.00149867,0.00515826,31
67,51.4771,1.63762,53.807,3.81952,12.429241189559573,3.192040353754947,0.256816993497256,0.0555918453897949,0.23164493170583292,0.04307113383293919,18397.0,64558.90150684932,33883.61820088227,129782.0,8759,98.36825998036754,False,,,,,0
68,51.5875,2.01523,54.7337,4.06497,13.746123950750698,3.7549978039407694,0.27316775386240444,0.06377937545018161,0.296042045980989,0.04640781192835138,42722.9,112045.74721461188,40013.60420674292,189508.0,8759,93.66863666936959,False,,,,,0
69,51.6346,2.1671,55.0443,4.22351,14.384817057317562,3.981818200031238,0.2768070100693902,0.06614815346885534,0.30271672669616395,0.04782293217932614,54762.1,134438.18401826484,42021.81527730738,213147.0,8759,94.09649988413216,False,,,,,0
70,51.781,2.56186,55.9047,4.62294,15.593168684653891,4.61009245638306,0.2956482129844532,0.07066142283336131,0.31871359553192896,0.04977590904990178,71622.3,199108.87388127853,54774.989306180134,286444.0,8759,94.93774959946857,False,,,,,0
71,51.9425,2.80538,56.2276,4.04347,15.848791711190565,4.460375416722229,0.28143315263414265,0.0729601756463669,0.3226990520670924,0.051086149236614045,77095.6,236244.11643835617,67641.23070887111,315019.0,8759,95.51865454075245,False,,,,,0
72,52.0877,3.01528,56.258,5.35327,15.747543676373017,4.78096217618379,0.30360050268391725,0.07551152471559718,0.31716312654388124,0.05248005853071614,76539.6,253263.22871004566,63038.88128635697,245687.0,8759,98.57541541629962,False,,,,,0
73,52.2634,3.1748,56.3271,5.79987,16.370536437655414,4.837835279843666,0.2955208766840227,0.07834713258928236,0.3106516342544491,0.05346932530016584,82615.5,241742.2103538813,60716.00110386853,214652.0,8759,98.99507719570262,False,,,,,0
74,52.4129,3.35945,56.7735,5.74371,17.37987209988977,4.969861980739504,0.28595503765364444,0.08062666692636192,0.3201403076503957,0.054201380289201684,82386.1,235293.67130136985,51492.909636041084,174081.0,8759,92.75830259082328,False,,,,,0
75,52.5205,3.48558,56.809,5.79952,17.52801168192264,4.872940649505183,0.27800875181586326,0.08118384261839807,0.3218216216442892,0.0544504973536688,80994.6,232352.1865525114,50273.57382750773,167446.0,8759,92.2975551119426,False,,,,,0
76,52.6891,3.6536,56.8639,5.88877,17.778070131441506,4.735497858610009,0.26636737416369044,0.08232486389009604,0.3255458862084422,0.054851359103817166,86898.7,232091.92192922372,50611.109709139,157118.0,8759,91.34893227890407,False,,,,,0
77,52.8367,3.73755,56.9115,5.91744,17.959934635576996,4.621246093003484,0.25730862538047417,0.0829632749562733,0.3286143891949956,0.05500440006375703,92016.8,232847.38,50626.24166810329,150943.0,8759,91.26848575360059,False,,,,,0
78,53.0203,3.85445,56.9969,5.99975,18.17194725644314,4.5183691360932405,0.2486452922369772,0.0838555093759372,0.33311174922953407,0.05550064183641358,83580.0,223783.43981735158,51408.43978817662,138205.0,8759,89.54020743495136,False,,,,,0
79,53.172,3.87983,57.0387,5.99465,18.284501902559686,4.407247726461494,0.2410373413477845,0.0842500169223459,0.33511111327737253,0.05569539433014071,85862.9,223446.66097031962,52471.77865434245,134422.0,8759,89.32177571283756,False,,,,,0
80,53.3282,3.93882,57.0488,6.00839,18.396067745333752,4.257462195357697,0.2314332744527766,0.08448736015192809,0.33553916114701127,0.0557532442421512,87187.3,224449.6965410959,53688.23904741845,132687.0,8759,89.06791863681057,False,,,,,0
81,53.5138,4.08167,57.0978,6.01529,18.453149828647216,4.072338677516885,0.2206852876247103,0.08494442286377947,0.3374339820782874,0.056012101145993524,85700.7,221213.42069634702,54716.88964204737,127587.0,8759,87.51117889034235,False,,,,,0
82,53.5987,4.21611,57.0977,6.01886,18.392573266872816,3.9361032205088344,0.2140050314546371,0.08502272798388309,0.3373849596829859,0.05603572340451079,80439.0,220804.14084474885,55124.46493878061,127396.0,8759,87.54326648001225,False,,,,,0
83,53.6883,4.53517,57.1072,6.34767,18.60632901718926,3.8696296282719365,0.20797383646699036,0.08554695448573131,0.33265307563624,0.05629626015325167,62828.3,203304.12151826484,56602.78317952818,111533.0,8759,85.96123494389072,False,,,,,0
84,53.7379,4.83732,57.1551,6.50914,18.648289457778706,3.8042394709586778,0.20399937911580554,0.0858603648834316,0.32943701319191504,0.05647888828588732,53196.4,191804.7249543379,57685.745538751624,102492.0,8759,85.01180728754744,False,,,,,0
