Step,Latitude,Longitude,VelocityU,VelocityV,DistanceToShore
0,57.1603,6.00393,0.0141547,0.0359746,122303
1,57.1613,6.00438,0.0135202,0.0316403,122181
2,57.1623,6.00484,0.0142174,0.0297692,122064
3,57.1632,6.00534,0.015177,0.0283887,121948
4,57.1641,6.00586,0.0161326,0.0270063,121835
5,57.1649,6.00643,0.0173077,0.0258654,121723
6,57.1657,6.00704,0.0185359,0.0247681,121612
7,57.1665,6.00771,0.0197726,0.0236666,121503
8,57.1669,6.00865,0.0277828,0.0162045,121401
9,57.1671,6.00989,0.0371376,0.00746091,121308
10,57.1671,6.01144,0.0464805,-0.00128129,121219
11,57.1672,6.01334,0.0571848,0.00233013,121097
12,57.1675,6.01559,0.0681521,0.00837416,120936
13,57.168,6.01817,0.0790989,0.0143656,120735
14,57.169,6.02084,0.0822368,0.0280792,120486
15,57.1705,6.02356,0.0838324,0.0433472,120188
16,57.1724,6.02632,0.0854602,0.0586441,119844
17,57.1746,6.02899,0.0828024,0.065653,119485
18,57.1769,6.03155,0.0792923,0.07106,119115
19,57.1794,6.03399,0.0757936,0.0765381,118738
20,57.1819,6.03637,0.0737187,0.0770726,118363
21,57.1844,6.0387,0.0719309,0.0766064,117993
22,57.1868,6.04097,0.070147,0.0761369,117628
23,57.1893,6.04319,0.0688872,0.0767072,117263
24,57.1918,6.04538,0.0677536,0.0775171,116897
25,57.1944,6.04753,0.0666437,0.0783619,116533
26,57.1968,6.0496,0.0641427,0.0761535,116180
27,57.1992,6.05158,0.0613556,0.0733366,115842
28,57.2014,6.05345,0.0585629,0.070526,115518
29,57.2036,6.05519,0.0541181,0.0666221,115214
30,57.2056,6.05677,0.049343,0.0624951,114932
31,57.2075,6.0582,0.0445671,0.0583636,114672
32,57.2092,6.05955,0.0419045,0.0550776,114426
33,57.2109,6.06083,0.0396674,0.0519594,114193
34,57.2125,6.06205,0.0374334,0.0488391,113970
35,57.2144,6.06335,0.0398374,0.0564721,113717
36,57.2166,6.06476,0.0431305,0.0662419,113428
37,57.2191,6.06627,0.0463734,0.0759935,113104
38,57.2218,6.06783,0.0479074,0.0828525,112757
39,57.2247,6.06943,0.0491331,0.0891209,112388
40,57.2278,6.07105,0.0503916,0.095373,112001
41,57.2308,6.07261,0.0484152,0.0933045,111626
42,57.2337,6.07409,0.045811,0.0896015,111266
43,57.2365,6.0755,0.0432307,0.085927,110921
44,57.2392,6.07702,0.0463782,0.0846085,110573
45,57.2419,6.07868,0.0506644,0.083738,110220
46,57.2446,6.08046,0.0549466,0.0828454,109861
47,57.2474,6.08232,0.0569721,0.0857174,109489
48,57.2503,6.08422,0.0585416,0.0893364,109103
49,57.2533,6.08618,0.0601051,0.0929458,108700
50,57.2567,6.08829,0.0644766,0.101364,108263
51,57.2603,6.09056,0.06941,0.110718,107787
52,57.2642,6.09298,0.0743427,0.120037,107276
53,57.2684,6.09546,0.0763297,0.127247,106738
54,57.2727,6.09798,0.0777545,0.13412,106177
55,57.2773,6.10054,0.0792102,0.141088,105594
56,57.282,6.10305,0.0777745,0.145149,105001
57,57.2869,6.1055,0.0757325,0.148641,104401
58,57.2918,6.1078,0.0736603,0.152161,103803
59,57.2965,6.10938,0.0520667,0.147669,103259
60,57.3011,6.11014,0.0263546,0.141458,102783
61,57.3055,6.11011,0.000408118,0.135107,102373
62,57.3096,6.10969,-0.0118411,0.127749,102009
63,57.3134,6.10897,-0.0211806,0.120346,101687
64,57.3171,6.10798,-0.0303682,0.113089,101399
65,57.3209,6.10694,-0.0322576,0.117072,101102
66,57.3249,6.10588,-0.0326179,0.123299,100789
67,57.3292,6.10483,-0.0328774,0.129541,100458
68,57.3335,6.10392,-0.0286402,0.134134,100105
69,57.338,6.10318,-0.023443,0.138497,99731
70,57.3427,6.10263,-0.0181616,0.142977,99324.8
71,57.3476,6.10241,-0.0081488,0.151805,98866.9
72,57.3529,6.10254,0.00280861,0.161483,98358.3
73,57.3584,6.10299,0.0137768,0.171152,97804.6
74,57.3642,6.10345,0.0145446,0.176004,97236.1
75,57.37,6.10387,0.013259,0.179862,96659.2
76,57.3759,6.10423,0.0119506,0.183655,96076.3
77,57.3819,6.10438,0.00554193,0.183952,95506
78,57.3878,6.10428,-0.00190801,0.183568,94952.5
79,57.3938,6.10396,-0.00939385,0.183166,94416.4
80,57.3996,6.10347,-0.0144482,0.179828,93901.8
81,57.4053,6.10283,-0.0189943,0.175812,93409.8
82,57.4108,6.10207,-0.0235207,0.171697,92937.5
83,57.4164,6.10132,-0.0233964,0.173031,92462.4
84,57.4221,6.10059,-0.02239,0.175333,91979.9
85,57.4279,6.09992,-0.0214338,0.177487,91489.1
86,57.4338,6.09939,-0.0170603,0.181698,90978.7
87,57.4399,6.09902,-0.0120083,0.186402,90445.7
88,57.446,6.0988,-0.00697113,0.191179,89896.4
89,57.4519,6.09861,-0.00570939,0.182831,89371.8
90,57.4575,6.09845,-0.00521729,0.171817,88880.6
91,57.4627,6.09823,-0.00474359,0.160771,88424
92,57.4677,6.09743,-0.0219964,0.156804,88017.5
93,57.4727,6.09596,-0.0429165,0.154464,87663.9
94,57.4777,6.09384,-0.0639779,0.152345,87358.9
95,57.4828,6.09133,-0.0764283,0.156694,87070.7
96,57.4881,6.08847,-0.0870857,0.162188,86793.1
97,57.4934,6.08526,-0.0976737,0.16754,86534.9
98,57.4983,6.08171,-0.108427,0.153306,86347.3
99,57.5026,6.07781,-0.119108,0.135069,86239.6
100,57.5064,6.07362,-0.129702,0.116749,86206.4
101,57.5097,6.06948,-0.128186,0.104678,86206.8
102,57.5127,6.06547,-0.124313,0.0940601,86232.2
103,57.5154,6.06152,-0.120509,0.0836299,86282.1
104,57.5182,6.05711,-0.134141,0.0839903,86366.5
105,57.521,6.05214,-0.151387,0.0864575,86488.1
106,57.5238,6.04671,-0.168793,0.0888834,86644.2
107,57.5265,6.04154,-0.161327,0.0830306,86802.7
108,57.5289,6.03678,-0.148762,0.0755179,86955.4
109,57.5311,6.03237,-0.136087,0.0679944,87102.7
110,57.5333,6.02789,-0.137958,0.069075,87255.4
111,57.5357,6.02325,-0.142824,0.0719019,87415.7
