Step,Latitude,Longitude,VelocityU,VelocityV,DistanceToShore,Beached
0,57.1603,6.00393,0.000235915,0.000599581,122305,No
1,57.1603,6.00393,0.000471828,0.00119916,122305,No
2,57.1603,6.00393,0.000707742,0.00179874,122305,No
3,57.1603,6.00393,0.000943656,0.00239832,122305,No
4,57.1603,6.00393,0.00117957,0.0029979,122305,No
5,57.1603,6.00393,0.00141548,0.00359748,122305,No
6,57.1603,6.00393,0.00165139,0.00419706,122304,No
7,57.1603,6.00394,0.0018873,0.00479663,122304,No
8,57.1603,6.00394,0.00212321,0.0053962,122303,No
9,57.1603,6.00394,0.00235911,0.00599577,122303,No
10,57.1603,6.00394,0.00259502,0.00659534,122302,No
11,57.1603,6.00394,0.00283092,0.00719491,122302,No
12,57.1603,6.00394,0.00306682,0.00779448,122302,No
13,57.1603,6.00394,0.00330272,0.00839405,122301,No
14,57.1603,6.00395,0.00353862,0.00899362,122300,No
15,57.1603,6.00395,0.00377452,0.00959318,122300,No
16,57.1604,6.00395,0.00401041,0.0101927,122299,No
17,57.1604,6.00395,0.0042463,0.0107923,122299,No
18,57.1604,6.00396,0.00448219,0.0113919,122298,No
19,57.1604,6.00396,0.00471807,0.0119914,122297,No
20,57.1604,6.00396,0.00495394,0.0125909,122296,No
21,57.1604,6.00396,0.00518981,0.0131905,122295,No
22,57.1604,6.00397,0.00542569,0.01379,122294,No
23,57.1604,6.00397,0.00566155,0.0143896,122293,No
24,57.1604,6.00397,0.00589742,0.0149891,122293,No
25,57.1604,6.00398,0.00613328,0.0155886,122292,No
26,57.1604,6.00398,0.00636914,0.0161882,122291,No
27,57.1604,6.00398,0.006605,0.0167877,122290,No
28,57.1604,6.00399,0.00684086,0.0173872,122289,No
29,57.1605,6.00399,0.00707671,0.0179867,122288,No
30,57.1605,6.004,0.00731254,0.0185862,122286,No
31,57.1605,6.004,0.00754837,0.0191857,122285,No
32,57.1605,6.004,0.00778419,0.0197852,122284,No
33,57.1605,6.00401,0.00802001,0.0203847,122282,No
34,57.1605,6.00401,0.00825583,0.0209842,122281,No
35,57.1605,6.00402,0.00849164,0.0215837,122280,No
36,57.1605,6.00402,0.00872745,0.0221832,122278,No
37,57.1605,6.00403,0.00896325,0.0227827,122277,No
38,57.1606,6.00403,0.00919905,0.0233821,122275,No
39,57.1606,6.00404,0.00943485,0.0239816,122274,No
40,57.1606,6.00404,0.00967064,0.0245811,122273,No
41,57.1606,6.00405,0.00990643,0.0251806,122271,No
42,57.1606,6.00405,0.0101422,0.02578,122269,No
43,57.1606,6.00406,0.0103779,0.0263794,122268,No
44,57.1606,6.00406,0.0106137,0.0269788,122266,No
45,57.1607,6.00407,0.0108494,0.0275783,122264,No
46,57.1607,6.00408,0.0110852,0.0281777,122262,No
47,57.1607,6.00408,0.0113209,0.0287771,122260,No
48,57.1607,6.00409,0.0115566,0.0293765,122258,No
49,57.1607,6.00409,0.0117924,0.0299759,122257,No
50,57.1607,6.0041,0.0120281,0.0305753,122255,No
51,57.1607,6.00411,0.0122638,0.0311747,122253,No
52,57.1608,6.00411,0.0124995,0.0317741,122251,No
53,57.1608,6.00412,0.0127352,0.0323734,122249,No
54,57.1608,6.00413,0.0129708,0.0329728,122247,No
55,57.1608,6.00414,0.0132065,0.0335721,122244,No
56,57.1608,6.00414,0.0134421,0.0341714,122242,No
57,57.1609,6.00415,0.0136778,0.0347708,122240,No
58,57.1609,6.00416,0.0139134,0.0353701,122238,No
59,57.1609,6.00417,0.014149,0.0359694,122235,No
60,57.1609,6.00417,0.0141384,0.0358971,122233,No
61,57.1609,6.00418,0.0141279,0.0358249,122231,No
62,57.161,6.00419,0.0141173,0.0357526,122229,No
63,57.161,6.0042,0.0141067,0.0356803,122226,No
64,57.161,6.0042,0.0140961,0.0356081,122224,No
65,57.161,6.00421,0.0140855,0.0355358,122222,No
66,57.161,6.00422,0.0140749,0.0354635,122220,No
67,57.1611,6.00423,0.0140643,0.0353913,122217,No
68,57.1611,6.00423,0.0140537,0.035319,122215,No
69,57.1611,6.00424,0.0140431,0.0352467,122213,No
70,57.1611,6.00425,0.0140325,0.0351745,122211,No
71,57.1611,6.00426,0.0140219,0.0351022,122208,No
72,57.1611,6.00426,0.0140113,0.03503,122206,No
73,57.1612,6.00427,0.0140007,0.0349577,122204,No
74,57.1612,6.00428,0.0139901,0.0348854,122202,No
75,57.1612,6.00429,0.0139795,0.0348132,122199,No
76,57.1612,6.0043,0.0139689,0.0347409,122197,No
77,57.1612,6.0043,0.0139583,0.0346687,122195,No
78,57.1613,6.00431,0.0139478,0.0345964,122193,No
79,57.1613,6.00432,0.0139372,0.0345242,122191,No
80,57.1613,6.00433,0.0139266,0.0344519,122188,No
81,57.1613,6.00433,0.013916,0.0343797,122186,No
82,57.1613,6.00434,0.0139054,0.0343074,122184,No
83,57.1614,6.00435,0.0138948,0.0342352,122182,No
84,57.1614,6.00436,0.0138842,0.0341629,122179,No
85,57.1614,6.00436,0.0138736,0.0340907,122177,No
86,57.1614,6.00437,0.013863,0.0340184,122175,No
87,57.1614,6.00438,0.0138524,0.0339462,122173,No
88,57.1615,6.00439,0.0138418,0.0338739,122170,No
89,57.1615,6.00439,0.0138312,0.0338017,122168,No
90,57.1615,6.0044,0.0138206,0.0337294,122166,No
91,57.1615,6.00441,0.01381,0.0336572,122164,No
92,57.1615,6.00442,0.0137994,0.0335849,122161,No
93,57.1615,6.00442,0.0137889,0.0335127,122159,No
94,57.1616,6.00443,0.0137783,0.0334405,122157,No
95,57.1616,6.00444,0.0137677,0.0333682,122155,No
96,57.1616,6.00445,0.0137571,0.033296,122152,No
97,57.1616,6.00446,0.0137465,0.0332237,122150,No
98,57.1616,6.00446,0.0137359,0.0331515,122148,No
99,57.1617,6.00447,0.0137253,0.0330793,122146,No
100,57.1617,6.00448,0.0137147,0.033007,122143,No
101,57.1617,6.00449,0.0137041,0.0329348,122141,No
102,57.1617,6.00449,0.0136935,0.0328626,122139,No
103,57.1617,6.0045,0.0136829,0.0327903,122137,No
104,57.1618,6.00451,0.0136723,0.0327181,122135,No
105,57.1618,6.00452,0.0136617,0.0326459,122132,No
106,57.1618,6.00452,0.0136512,0.0325736,122130,No
107,57.1618,6.00453,0.0136406,0.0325014,122128,No
108,57.1618,6.00454,0.01363,0.0324292,122126,No
109,57.1619,6.00454,0.0136194,0.0323569,122124,No
110,57.1619,6.00455,0.0136088,0.0322847,122121,No
111,57.1619,6.00456,0.0135982,0.0322125,122119,No
112,57.1619,6.00457,0.0135876,0.0321402,122117,No
113,57.1619,6.00457,0.013577,0.032068,122115,No
114,57.1619,6.00458,0.0135664,0.0319958,122112,No
115,57.162,6.00459,0.0135558,0.0319236,122110,No
116,57.162,6.00459,0.0135452,0.0318513,122108,No
117,57.162,6.0046,0.0135347,0.0317791,122106,No
118,57.162,6.00461,0.0135241,0.0317069,122104,No
119,57.162,6.00462,0.0135135,0.0316347,122102,No
120,57.1621,6.00462,0.0135252,0.0316036,122100,No
121,57.1621,6.00463,0.0135368,0.0315724,122098,No
122,57.1621,6.00464,0.0135485,0.0315412,122097,No
123,57.1621,6.00464,0.0135601,0.03151,122095,No
124,57.1621,6.00465,0.0135717,0.0314789,122093,No
125,57.1621,6.00466,0.0135833,0.0314477,122091,No
126,57.1621,6.00467,0.013595,0.0314165,122089,No
127,57.1622,6.00467,0.0136066,0.0313853,122087,No
128,57.1622,6.00468,0.0136182,0.0313541,122085,No
129,57.1622,6.00469,0.0136299,0.031323,122084,No
130,57.1622,6.00469,0.0136415,0.0312918,122082,No
131,57.1622,6.0047,0.0136531,0.0312606,122080,No
132,57.1622,6.00471,0.0136647,0.0312294,122078,No
133,57.1622,6.00472,0.0136764,0.0311982,122076,No
134,57.1623,6.00472,0.013688,0.0311671,122074,No
135,57.1623,6.00473,0.0136996,0.0311359,122072,No
136,57.1623,6.00474,0.0137112,0.0311047,122070,No
137,57.1623,6.00475,0.0137228,0.0310735,122069,No
138,57.1623,6.00475,0.0137345,0.0310423,122067,No
139,57.1623,6.00476,0.0137461,0.0310112,122065,No
140,57.1624,6.00477,0.0137577,0.03098,122063,No
141,57.1624,6.00478,0.0137693,0.0309488,122061,No
142,57.1624,6.00478,0.0137809,0.0309176,122059,No
143,57.1624,6.00479,0.0137925,0.0308864,122057,No
144,57.1624,6.0048,0.0138042,0.0308553,122055,No
145,57.1624,6.00481,0.0138158,0.0308241,122054,No
146,57.1624,6.00481,0.0138274,0.0307929,122052,No
147,57.1625,6.00482,0.013839,0.0307617,122050,No
148,57.1625,6.00483,0.0138506,0.0307305,122048,No
149,57.1625,6.00484,0.0138622,0.0306993,122046,No
150,57.1625,6.00485,0.0138738,0.0306682,122044,No
151,57.1625,6.00485,0.0138854,0.030637,122042,No
152,57.1625,6.00486,0.013897,0.0306058,122040,No
153,57.1626,6.00487,0.0139086,0.0305746,122038,No
154,57.1626,6.00488,0.0139202,0.0305434,122037,No
155,57.1626,6.00488,0.0139318,0.0305122,122035,No
156,57.1626,6.00489,0.0139434,0.030481,122033,No
157,57.1626,6.0049,0.013955,0.0304498,122031,No
158,57.1626,6.00491,0.0139666,0.0304187,122029,No
159,57.1626,6.00491,0.0139782,0.0303875,122027,No
160,57.1627,6.00492,0.0139898,0.0303563,122025,No
161,57.1627,6.00493,0.0140014,0.0303251,122023,No
162,57.1627,6.00494,0.014013,0.0302939,122021,No
163,57.1627,6.00494,0.0140246,0.0302627,122020,No
164,57.1627,6.00495,0.0140362,0.0302315,122018,No
165,57.1627,6.00496,0.0140478,0.0302003,122016,No
166,57.1628,6.00497,0.0140594,0.0301691,122014,No
167,57.1628,6.00497,0.0140709,0.0301379,122012,No
168,57.1628,6.00498,0.0140825,0.0301067,122010,No
169,57.1628,6.00499,0.0140941,0.0300755,122008,No
170,57.1628,6.005,0.0141057,0.0300444,122006,No
171,57.1628,6.00501,0.0141173,0.0300132,122005,No
172,57.1628,6.00501,0.0141289,0.029982,122003,No
173,57.1629,6.00502,0.0141404,0.0299508,122001,No
174,57.1629,6.00503,0.014152,0.0299196,121999,No
175,57.1629,6.00504,0.0141636,0.0298884,121997,No
176,57.1629,6.00504,0.0141752,0.0298572,121995,No
177,57.1629,6.00505,0.0141868,0.029826,121993,No
178,57.1629,6.00506,0.0141983,0.0297948,121991,No
179,57.1629,6.00507,0.0142099,0.0297636,121989,No
180,57.163,6.00507,0.0142259,0.0297406,121988,No
181,57.163,6.00508,0.0142419,0.0297176,121986,No
182,57.163,6.00509,0.0142579,0.0296946,121984,No
183,57.163,6.0051,0.0142739,0.0296716,121982,No
184,57.163,6.0051,0.0142899,0.0296486,121980,No
185,57.163,6.00511,0.0143059,0.0296256,121978,No
186,57.1631,6.00512,0.0143219,0.0296026,121976,No
187,57.1631,6.00513,0.0143379,0.0295795,121974,No
188,57.1631,6.00514,0.0143539,0.0295565,121972,No
189,57.1631,6.00514,0.0143699,0.0295335,121971,No
190,57.1631,6.00515,0.0143859,0.0295105,121969,No
191,57.1631,6.00516,0.0144019,0.0294875,121967,No
192,57.1631,6.00517,0.0144179,0.0294645,121965,No
193,57.1632,6.00517,0.0144339,0.0294415,121963,No
194,57.1632,6.00518,0.0144498,0.0294185,121961,No
195,57.1632,6.00519,0.0144658,0.0293955,121959,No
196,57.1632,6.0052,0.0144818,0.0293724,121957,No
197,57.1632,6.0052,0.0144978,0.0293494,121955,No
198,57.1632,6.00521,0.0145138,0.0293264,121954,No
199,57.1633,6.00522,0.0145298,0.0293034,121952,No
200,57.1633,6.00523,0.0145457,0.0292804,121950,No
201,57.1633,6.00523,0.0145617,0.0292574,121948,No
202,57.1633,6.00524,0.0145777,0.0292343,121946,No
203,57.1633,6.00525,0.0145937,0.0292113,121944,No
204,57.1633,6.00526,0.0146096,0.0291883,121942,No
205,57.1633,6.00527,0.0146256,0.0291653,121940,No
206,57.1634,6.00527,0.0146416,0.0291423,121938,No
207,57.1634,6.00528,0.0146575,0.0291193,121936,No
208,57.1634,6.00529,0.0146735,0.0290962,121935,No
209,57.1634,6.0053,0.0146895,0.0290732,121933,No
210,57.1634,6.00531,0.0147054,0.0290502,121931,No
